#separator:tab
#html:false
Genus_cof_DNP	back_card
Commiphora	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Burseraceae     https://www.gbif.org/species/2972896     https://en.wikipedia.org/wiki/Commiphora     https://www.merriam-webster.com/dictionary/Commiphora
Teucrium	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Lamiaceae     https://www.gbif.org/species/2926895     https://en.wikipedia.org/wiki/Teucrium     https://www.merriam-webster.com/dictionary/Teucrium
Hypericum	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Hypericaceae     https://www.gbif.org/species/3189452     https://en.wikipedia.org/wiki/Hypericum     https://www.merriam-webster.com/dictionary/Hypericum
Carpesium	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3094825     https://en.wikipedia.org/wiki/Carpesium     https://www.merriam-webster.com/dictionary/Carpesium
Schefflera	Plantae - Tracheophyta - Magnoliopsida - Apiales - Araliaceae     https://www.gbif.org/species/3037700     https://en.wikipedia.org/wiki/Schefflera     https://www.merriam-webster.com/dictionary/Schefflera
Peritassa	Plantae - Tracheophyta - Magnoliopsida - Celastrales - Celastraceae     https://www.gbif.org/species/7265649     https://en.wikipedia.org/wiki/Peritassa     https://www.merriam-webster.com/dictionary/Peritassa
Physalis	Plantae - Tracheophyta - Magnoliopsida - Solanales - Solanaceae     https://www.gbif.org/species/2928907     https://en.wikipedia.org/wiki/Physalis     https://www.merriam-webster.com/dictionary/Physalis
Adesmia	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2961501     https://en.wikipedia.org/wiki/Adesmia     https://www.merriam-webster.com/dictionary/Adesmia
Toona	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Meliaceae     https://www.gbif.org/species/3190471     https://en.wikipedia.org/wiki/Toona     https://www.merriam-webster.com/dictionary/Toona
Salvia	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Lamiaceae     https://www.gbif.org/species/2926981     https://en.wikipedia.org/wiki/Salvia     https://www.merriam-webster.com/dictionary/Salvia
Debregeasia	Plantae - Tracheophyta - Magnoliopsida - Rosales - Urticaceae     https://www.gbif.org/species/7300571     https://en.wikipedia.org/wiki/Debregeasia     https://www.merriam-webster.com/dictionary/Debregeasia
Vitex	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Lamiaceae     https://www.gbif.org/species/2925556     https://en.wikipedia.org/wiki/Vitex     https://www.merriam-webster.com/dictionary/Vitex
Silene	Plantae - Tracheophyta - Magnoliopsida - Caryophyllales - Caryophyllaceae     https://www.gbif.org/species/3085897     https://en.wikipedia.org/wiki/Silene     https://www.merriam-webster.com/dictionary/Silene
Aster	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3093921     https://en.wikipedia.org/wiki/Aster     https://www.merriam-webster.com/dictionary/Aster
Pieris	Plantae - Tracheophyta - Magnoliopsida - Ericales - Ericaceae     https://www.gbif.org/species/2882626     https://en.wikipedia.org/wiki/Pieris     https://www.merriam-webster.com/dictionary/Pieris
