#separator:tab
#html:false
Genus_cof_DNP	back_card
Betula	Plantae - Tracheophyta - Magnoliopsida - Fagales - Betulaceae     https://www.gbif.org/species/2875008     https://en.wikipedia.org/wiki/Betula     https://www.merriam-webster.com/dictionary/Betula
Argyreia	Plantae - Tracheophyta - Magnoliopsida - Solanales - Convolvulaceae     https://www.gbif.org/species/2928690     https://en.wikipedia.org/wiki/Argyreia     https://www.merriam-webster.com/dictionary/Argyreia
Caloncoba	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Achariaceae     https://www.gbif.org/species/2874146     https://en.wikipedia.org/wiki/Caloncoba     https://www.merriam-webster.com/dictionary/Caloncoba
Pilocarpus	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Rutaceae     https://www.gbif.org/species/3190419     https://en.wikipedia.org/wiki/Pilocarpus     https://www.merriam-webster.com/dictionary/Pilocarpus
Senecio	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/9802230     https://en.wikipedia.org/wiki/Senecio     https://www.merriam-webster.com/dictionary/Senecio
Urostemon	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/6063338     https://en.wikipedia.org/wiki/Urostemon     https://www.merriam-webster.com/dictionary/Urostemon
Picrodendron	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Picrodendraceae     https://www.gbif.org/species/3075188     https://en.wikipedia.org/wiki/Picrodendron     https://www.merriam-webster.com/dictionary/Picrodendron
Pallavicinia	Plantae - Marchantiophyta - Jungermanniopsida - Pallaviciniales - Pallaviciniaceae     https://www.gbif.org/species/2932907     https://en.wikipedia.org/wiki/Pallavicinia     https://www.merriam-webster.com/dictionary/Pallavicinia
Symphoricarpos	Plantae - Tracheophyta - Magnoliopsida - Dipsacales - Caprifoliaceae     https://www.gbif.org/species/2888628     https://en.wikipedia.org/wiki/Symphoricarpos     https://www.merriam-webster.com/dictionary/Symphoricarpos
Shorea	Plantae - Tracheophyta - Magnoliopsida - Malvales - Dipterocarpaceae     https://www.gbif.org/species/3189683     https://en.wikipedia.org/wiki/Shorea     https://www.merriam-webster.com/dictionary/Shorea
Asarum	Plantae - Tracheophyta - Magnoliopsida - Piperales - Aristolochiaceae     https://www.gbif.org/species/2873945     https://en.wikipedia.org/wiki/Asarum     https://www.merriam-webster.com/dictionary/Asarum
Sindora	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2943351     https://en.wikipedia.org/wiki/Sindora     https://www.merriam-webster.com/dictionary/Sindora
Sinacalia	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3115124     https://en.wikipedia.org/wiki/Sinacalia     https://www.merriam-webster.com/dictionary/Sinacalia
Heteropappus	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/8123456     https://en.wikipedia.org/wiki/Heteropappus     https://www.merriam-webster.com/dictionary/Heteropappus
Alsophila	Plantae - Tracheophyta - Polypodiopsida - Cyatheales - Cyatheaceae     https://www.gbif.org/species/2650312     https://en.wikipedia.org/wiki/Alsophila     https://www.merriam-webster.com/dictionary/Alsophila
Angiopteris	Plantae - Tracheophyta - Marattiopsida - Marattiales - Marattiaceae     https://www.gbif.org/species/2650108     https://en.wikipedia.org/wiki/Angiopteris     https://www.merriam-webster.com/dictionary/Angiopteris
Salacia	Plantae - Tracheophyta - Magnoliopsida - Celastrales - Celastraceae     https://www.gbif.org/species/3169160     https://en.wikipedia.org/wiki/Salacia     https://www.merriam-webster.com/dictionary/Salacia
Lippia	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Verbenaceae     https://www.gbif.org/species/2925383     https://en.wikipedia.org/wiki/Lippia     https://www.merriam-webster.com/dictionary/Lippia
Gochnatia	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3094959     https://en.wikipedia.org/wiki/Gochnatia     https://www.merriam-webster.com/dictionary/Gochnatia
Henriettea	Plantae - Tracheophyta - Magnoliopsida - Myrtales - Melastomataceae     https://www.gbif.org/species/3188527     https://en.wikipedia.org/wiki/Henriettea     https://www.merriam-webster.com/dictionary/Henriettea
Andrographis	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Acanthaceae     https://www.gbif.org/species/3173177     https://en.wikipedia.org/wiki/Andrographis     https://www.merriam-webster.com/dictionary/Andrographis
Gnidia	Plantae - Tracheophyta - Magnoliopsida - Malvales - Thymelaeaceae     https://www.gbif.org/species/3233897     https://en.wikipedia.org/wiki/Gnidia     https://www.merriam-webster.com/dictionary/Gnidia
Eriophyllum	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3130444     https://en.wikipedia.org/wiki/Eriophyllum     https://www.merriam-webster.com/dictionary/Eriophyllum
Luma	Plantae - Tracheophyta - Magnoliopsida - Myrtales - Myrtaceae     https://www.gbif.org/species/3187179     https://en.wikipedia.org/wiki/Luma     https://www.merriam-webster.com/dictionary/Luma
Rhazya	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Apocynaceae     https://www.gbif.org/species/6421510     https://en.wikipedia.org/wiki/Rhazya     https://www.merriam-webster.com/dictionary/Rhazya
Maesa	Plantae - Tracheophyta - Magnoliopsida - Ericales - Primulaceae     https://www.gbif.org/species/3169410     https://en.wikipedia.org/wiki/Maesa     https://www.merriam-webster.com/dictionary/Maesa
Vincetoxicum	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Apocynaceae     https://www.gbif.org/species/7588865     https://en.wikipedia.org/wiki/Vincetoxicum     https://www.merriam-webster.com/dictionary/Vincetoxicum
Catalpa	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Bignoniaceae     https://www.gbif.org/species/3172611     https://en.wikipedia.org/wiki/Catalpa     https://www.merriam-webster.com/dictionary/Catalpa
Haemodorum	Plantae - Tracheophyta - Liliopsida - Commelinales - Haemodoraceae     https://www.gbif.org/species/2765649     https://en.wikipedia.org/wiki/Haemodorum     https://www.merriam-webster.com/dictionary/Haemodorum
Lachnanthes	Plantae - Tracheophyta - Liliopsida - Commelinales - Haemodoraceae     https://www.gbif.org/species/2765921     https://en.wikipedia.org/wiki/Lachnanthes     https://www.merriam-webster.com/dictionary/Lachnanthes
Nitraria	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Nitrariaceae     https://www.gbif.org/species/6384813     https://en.wikipedia.org/wiki/Nitraria     https://www.merriam-webster.com/dictionary/Nitraria
Murraya	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Rutaceae     https://www.gbif.org/species/3190383     https://en.wikipedia.org/wiki/Murraya     https://www.merriam-webster.com/dictionary/Murraya
Machilus	Plantae - Tracheophyta - Magnoliopsida - Laurales - Lauraceae     https://www.gbif.org/species/9419239     https://en.wikipedia.org/wiki/Machilus     https://www.merriam-webster.com/dictionary/Machilus
Gynostemma	Plantae - Tracheophyta - Magnoliopsida - Cucurbitales - Cucurbitaceae     https://www.gbif.org/species/7317446     https://en.wikipedia.org/wiki/Gynostemma     https://www.merriam-webster.com/dictionary/Gynostemma
Curculigo	Plantae - Tracheophyta - Liliopsida - Asparagales - Hypoxidaceae     https://www.gbif.org/species/2740352     https://en.wikipedia.org/wiki/Curculigo     https://www.merriam-webster.com/dictionary/Curculigo
Andira	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/7858091     https://en.wikipedia.org/wiki/Andira     https://www.merriam-webster.com/dictionary/Andira
Peristeria	Plantae - Tracheophyta - Liliopsida - Asparagales - Orchidaceae     https://www.gbif.org/species/2789700     https://en.wikipedia.org/wiki/Peristeria     https://www.merriam-webster.com/dictionary/Peristeria
Angelica	Plantae - Tracheophyta - Magnoliopsida - Apiales - Apiaceae     https://www.gbif.org/species/3034560     https://en.wikipedia.org/wiki/Angelica     https://www.merriam-webster.com/dictionary/Angelica
Grevillea	Plantae - Tracheophyta - Magnoliopsida - Proteales - Proteaceae     https://www.gbif.org/species/2891790     https://en.wikipedia.org/wiki/Grevillea     https://www.merriam-webster.com/dictionary/Grevillea
Parthenium	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3086782     https://en.wikipedia.org/wiki/Parthenium     https://www.merriam-webster.com/dictionary/Parthenium
Barbeya	Plantae - Tracheophyta - Magnoliopsida - Rosales - Barbeyaceae     https://www.gbif.org/species/3234493     https://en.wikipedia.org/wiki/Barbeya     https://www.merriam-webster.com/dictionary/Barbeya
Horsfieldia	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Myristicaceae     https://www.gbif.org/species/3152849     https://en.wikipedia.org/wiki/Horsfieldia     https://www.merriam-webster.com/dictionary/Horsfieldia
Miliusa	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Annonaceae     https://www.gbif.org/species/3156567     https://en.wikipedia.org/wiki/Miliusa     https://www.merriam-webster.com/dictionary/Miliusa
Clathrotropis	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2939631     https://en.wikipedia.org/wiki/Clathrotropis     https://www.merriam-webster.com/dictionary/Clathrotropis
Punica	Plantae - Tracheophyta - Magnoliopsida - Myrtales - Lythraceae     https://www.gbif.org/species/3188663     https://en.wikipedia.org/wiki/Punica     https://www.merriam-webster.com/dictionary/Punica
Typha	Plantae - Tracheophyta - Liliopsida - Poales - Typhaceae     https://www.gbif.org/species/2702102     https://en.wikipedia.org/wiki/Typha     https://www.merriam-webster.com/dictionary/Typha
Angylocalyx	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2952339     https://en.wikipedia.org/wiki/Angylocalyx     https://www.merriam-webster.com/dictionary/Angylocalyx
Aspidosperma	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Apocynaceae     https://www.gbif.org/species/7316607     https://en.wikipedia.org/wiki/Aspidosperma     https://www.merriam-webster.com/dictionary/Aspidosperma
Kopsia	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Apocynaceae     https://www.gbif.org/species/3230914     https://en.wikipedia.org/wiki/Kopsia     https://www.merriam-webster.com/dictionary/Kopsia
Yucca	Plantae - Tracheophyta - Liliopsida - Asparagales - Asparagaceae     https://www.gbif.org/species/2775496     https://en.wikipedia.org/wiki/Yucca     https://www.merriam-webster.com/dictionary/Yucca
Amsonia	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Apocynaceae     https://www.gbif.org/species/3169685     https://en.wikipedia.org/wiki/Amsonia     https://www.merriam-webster.com/dictionary/Amsonia
Rhodomyrtus	Plantae - Tracheophyta - Magnoliopsida - Myrtales - Myrtaceae     https://www.gbif.org/species/3179966     https://en.wikipedia.org/wiki/Rhodomyrtus     https://www.merriam-webster.com/dictionary/Rhodomyrtus
Musella	Plantae - Tracheophyta - Liliopsida - Zingiberales - Musaceae     https://www.gbif.org/species/9375927     https://en.wikipedia.org/wiki/Musella     https://www.merriam-webster.com/dictionary/Musella
Goniothalamus	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Annonaceae     https://www.gbif.org/species/3154482     https://en.wikipedia.org/wiki/Goniothalamus     https://www.merriam-webster.com/dictionary/Goniothalamus
Broussonetia	Plantae - Tracheophyta - Magnoliopsida - Rosales - Moraceae     https://www.gbif.org/species/2984643     https://en.wikipedia.org/wiki/Broussonetia     https://www.merriam-webster.com/dictionary/Broussonetia
Koelreuteria	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Sapindaceae     https://www.gbif.org/species/3190053     https://en.wikipedia.org/wiki/Koelreuteria     https://www.merriam-webster.com/dictionary/Koelreuteria
Vatica	Plantae - Tracheophyta - Magnoliopsida - Malvales - Dipterocarpaceae     https://www.gbif.org/species/3233905     https://en.wikipedia.org/wiki/Vatica     https://www.merriam-webster.com/dictionary/Vatica
Brassica	Plantae - Tracheophyta - Magnoliopsida - Brassicales - Brassicaceae     https://www.gbif.org/species/3042506     https://en.wikipedia.org/wiki/Brassica     https://www.merriam-webster.com/dictionary/Brassica
Chrysanthemum	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3150746     https://en.wikipedia.org/wiki/Chrysanthemum     https://www.merriam-webster.com/dictionary/Chrysanthemum
Evolvulus	Plantae - Tracheophyta - Magnoliopsida - Solanales - Convolvulaceae     https://www.gbif.org/species/2928670     https://en.wikipedia.org/wiki/Evolvulus     https://www.merriam-webster.com/dictionary/Evolvulus
Pistacia	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Anacardiaceae     https://www.gbif.org/species/3190459     https://en.wikipedia.org/wiki/Pistacia     https://www.merriam-webster.com/dictionary/Pistacia
Mundulea	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2933866     https://en.wikipedia.org/wiki/Mundulea     https://www.merriam-webster.com/dictionary/Mundulea
Anemone	Plantae - Tracheophyta - Magnoliopsida - Ranunculales - Ranunculaceae     https://www.gbif.org/species/3016227     https://en.wikipedia.org/wiki/Anemone     https://www.merriam-webster.com/dictionary/Anemone
Zygogynum	Plantae - Tracheophyta - Magnoliopsida - Canellales - Winteraceae     https://www.gbif.org/species/7288403     https://en.wikipedia.org/wiki/Zygogynum     https://www.merriam-webster.com/dictionary/Zygogynum
Chrysolaena	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3130603     https://en.wikipedia.org/wiki/Chrysolaena     https://www.merriam-webster.com/dictionary/Chrysolaena
Kadsura	Plantae - Tracheophyta - Magnoliopsida - Austrobaileyales - Schisandraceae     https://www.gbif.org/species/7335127     https://en.wikipedia.org/wiki/Kadsura     https://www.merriam-webster.com/dictionary/Kadsura
Sabia	Plantae - Tracheophyta - Magnoliopsida - Proteales - Sabiaceae     https://www.gbif.org/species/8416128     https://en.wikipedia.org/wiki/Sabia     https://www.merriam-webster.com/dictionary/Sabia
Limnophila	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Plantaginaceae     https://www.gbif.org/species/3172158     https://en.wikipedia.org/wiki/Limnophila     https://www.merriam-webster.com/dictionary/Limnophila
Alpinia	Plantae - Tracheophyta - Liliopsida - Zingiberales - Zingiberaceae     https://www.gbif.org/species/7906850     https://en.wikipedia.org/wiki/Alpinia     https://www.merriam-webster.com/dictionary/Alpinia
Balanites	Plantae - Tracheophyta - Magnoliopsida - Zygophyllales - Zygophyllaceae     https://www.gbif.org/species/3189897     https://en.wikipedia.org/wiki/Balanites     https://www.merriam-webster.com/dictionary/Balanites
Cyanotis	Plantae - Tracheophyta - Liliopsida - Commelinales - Commelinaceae     https://www.gbif.org/species/2756532     https://en.wikipedia.org/wiki/Cyanotis     https://www.merriam-webster.com/dictionary/Cyanotis
Nidema	Plantae - Tracheophyta - Liliopsida - Asparagales - Orchidaceae     https://www.gbif.org/species/2838618     https://en.wikipedia.org/wiki/Nidema     https://www.merriam-webster.com/dictionary/Nidema
Polyalthia	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Annonaceae     https://www.gbif.org/species/3156263     https://en.wikipedia.org/wiki/Polyalthia     https://www.merriam-webster.com/dictionary/Polyalthia
Pulicaria	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/9785145     https://en.wikipedia.org/wiki/Pulicaria     https://www.merriam-webster.com/dictionary/Pulicaria
Psacalium	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3097611     https://en.wikipedia.org/wiki/Psacalium     https://www.merriam-webster.com/dictionary/Psacalium
Salix	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Salicaceae     https://www.gbif.org/species/3039576     https://en.wikipedia.org/wiki/Salix     https://www.merriam-webster.com/dictionary/Salix
Cydonia	Plantae - Tracheophyta - Magnoliopsida - Rosales - Rosaceae     https://www.gbif.org/species/2986441     https://en.wikipedia.org/wiki/Cydonia     https://www.merriam-webster.com/dictionary/Cydonia
Hedychium	Plantae - Tracheophyta - Liliopsida - Zingiberales - Zingiberaceae     https://www.gbif.org/species/2758595     https://en.wikipedia.org/wiki/Hedychium     https://www.merriam-webster.com/dictionary/Hedychium
Rubus	Plantae - Tracheophyta - Magnoliopsida - Rosales - Rosaceae     https://www.gbif.org/species/2988638     https://en.wikipedia.org/wiki/Rubus     https://www.merriam-webster.com/dictionary/Rubus
Capnoides	Plantae - Tracheophyta - Magnoliopsida - Ranunculales - Papaveraceae     https://www.gbif.org/species/7314747     https://en.wikipedia.org/wiki/Capnoides     https://www.merriam-webster.com/dictionary/Capnoides
Fumaria	Plantae - Tracheophyta - Magnoliopsida - Ranunculales - Papaveraceae     https://www.gbif.org/species/2888567     https://en.wikipedia.org/wiki/Fumaria     https://www.merriam-webster.com/dictionary/Fumaria
Corydalis	Plantae - Tracheophyta - Magnoliopsida - Ranunculales - Papaveraceae     https://www.gbif.org/species/7576308     https://en.wikipedia.org/wiki/Corydalis     https://www.merriam-webster.com/dictionary/Corydalis
Mansonia	Plantae - Tracheophyta - Magnoliopsida - Malvales - Malvaceae     https://www.gbif.org/species/3233963     https://en.wikipedia.org/wiki/Mansonia     https://www.merriam-webster.com/dictionary/Mansonia
Vepris	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Rutaceae     https://www.gbif.org/species/7269144     https://en.wikipedia.org/wiki/Vepris     https://www.merriam-webster.com/dictionary/Vepris
Jatropha	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Euphorbiaceae     https://www.gbif.org/species/3072692     https://en.wikipedia.org/wiki/Jatropha     https://www.merriam-webster.com/dictionary/Jatropha
Azorella	Plantae - Tracheophyta - Magnoliopsida - Apiales - Apiaceae     https://www.gbif.org/species/6026436     https://en.wikipedia.org/wiki/Azorella     https://www.merriam-webster.com/dictionary/Azorella
Lansium	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Meliaceae     https://www.gbif.org/species/3190477     https://en.wikipedia.org/wiki/Lansium     https://www.merriam-webster.com/dictionary/Lansium
Licania	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Chrysobalanaceae     https://www.gbif.org/species/2985250     https://en.wikipedia.org/wiki/Licania     https://www.merriam-webster.com/dictionary/Licania
Wisteria	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2977309     https://en.wikipedia.org/wiki/Wisteria     https://www.merriam-webster.com/dictionary/Wisteria
Callerya	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2952255     https://en.wikipedia.org/wiki/Callerya     https://www.merriam-webster.com/dictionary/Callerya
Albizia	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2972897     https://en.wikipedia.org/wiki/Albizia     https://www.merriam-webster.com/dictionary/Albizia
Sarcophyton	Plantae - Tracheophyta - Liliopsida - Asparagales - Orchidaceae     https://www.gbif.org/species/2791274     https://en.wikipedia.org/wiki/Sarcophyton     https://www.merriam-webster.com/dictionary/Sarcophyton
Liquidambar	Plantae - Tracheophyta - Magnoliopsida - Saxifragales - Altingiaceae     https://www.gbif.org/species/3152823     https://en.wikipedia.org/wiki/Liquidambar     https://www.merriam-webster.com/dictionary/Liquidambar
Viburnum	Plantae - Tracheophyta - Magnoliopsida - Dipsacales - Adoxaceae     https://www.gbif.org/species/2888580     https://en.wikipedia.org/wiki/Viburnum     https://www.merriam-webster.com/dictionary/Viburnum
Jaborosa	Plantae - Tracheophyta - Magnoliopsida - Solanales - Solanaceae     https://www.gbif.org/species/2932929     https://en.wikipedia.org/wiki/Jaborosa     https://www.merriam-webster.com/dictionary/Jaborosa
Acalypha	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Euphorbiaceae     https://www.gbif.org/species/3055964     https://en.wikipedia.org/wiki/Acalypha     https://www.merriam-webster.com/dictionary/Acalypha
Suregada	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Euphorbiaceae     https://www.gbif.org/species/3054853     https://en.wikipedia.org/wiki/Suregada     https://www.merriam-webster.com/dictionary/Suregada
Palhinhaea	Plantae - Tracheophyta - Lycopodiopsida - Lycopodiales - Lycopodiaceae     https://www.gbif.org/species/6385627     https://en.wikipedia.org/wiki/Palhinhaea     https://www.merriam-webster.com/dictionary/Palhinhaea
Phlegmariurus	Plantae - Tracheophyta - Lycopodiopsida - Lycopodiales - Lycopodiaceae     https://www.gbif.org/species/7641693     https://en.wikipedia.org/wiki/Phlegmariurus     https://www.merriam-webster.com/dictionary/Phlegmariurus
Carapa	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Meliaceae     https://www.gbif.org/species/3190512     https://en.wikipedia.org/wiki/Carapa     https://www.merriam-webster.com/dictionary/Carapa
Aristeguietia	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3110120     https://en.wikipedia.org/wiki/Aristeguietia     https://www.merriam-webster.com/dictionary/Aristeguietia
Ligulariopsis	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3144194     https://en.wikipedia.org/wiki/Ligulariopsis     https://www.merriam-webster.com/dictionary/Ligulariopsis
Diplospora	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Rubiaceae     https://www.gbif.org/species/2898368     https://en.wikipedia.org/wiki/Diplospora     https://www.merriam-webster.com/dictionary/Diplospora
Saprosma	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Rubiaceae     https://www.gbif.org/species/2917624     https://en.wikipedia.org/wiki/Saprosma     https://www.merriam-webster.com/dictionary/Saprosma
Paederia	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Rubiaceae     https://www.gbif.org/species/2909469     https://en.wikipedia.org/wiki/Paederia     https://www.merriam-webster.com/dictionary/Paederia
Synotis	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/9362156     https://en.wikipedia.org/wiki/Synotis     https://www.merriam-webster.com/dictionary/Synotis
Melanoseris	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3141008     https://en.wikipedia.org/wiki/Melanoseris     https://www.merriam-webster.com/dictionary/Melanoseris
Datura	Plantae - Tracheophyta - Magnoliopsida - Solanales - Solanaceae     https://www.gbif.org/species/2928734     https://en.wikipedia.org/wiki/Datura     https://www.merriam-webster.com/dictionary/Datura
Cucurbita	Plantae - Tracheophyta - Magnoliopsida - Cucurbitales - Cucurbitaceae     https://www.gbif.org/species/2874506     https://en.wikipedia.org/wiki/Cucurbita     https://www.merriam-webster.com/dictionary/Cucurbita
Tripterospermum	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Gentianaceae     https://www.gbif.org/species/9796405     https://en.wikipedia.org/wiki/Tripterospermum     https://www.merriam-webster.com/dictionary/Tripterospermum
Kiggelaria	Plantae - Tracheophyta - Magnoliopsida - Malpighiales - Achariaceae     https://www.gbif.org/species/7274217     https://en.wikipedia.org/wiki/Kiggelaria     https://www.merriam-webster.com/dictionary/Kiggelaria
Averrhoa	Plantae - Tracheophyta - Magnoliopsida - Oxalidales - Oxalidaceae     https://www.gbif.org/species/9407103     https://en.wikipedia.org/wiki/Averrhoa     https://www.merriam-webster.com/dictionary/Averrhoa
Avicennia	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Acanthaceae     https://www.gbif.org/species/2925398     https://en.wikipedia.org/wiki/Avicennia     https://www.merriam-webster.com/dictionary/Avicennia
Tournefortia	Plantae - Tracheophyta - Magnoliopsida - Boraginales - Heliotropiaceae     https://www.gbif.org/species/2925828     https://en.wikipedia.org/wiki/Tournefortia     https://www.merriam-webster.com/dictionary/Tournefortia
Narvalina	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3126650     https://en.wikipedia.org/wiki/Narvalina     https://www.merriam-webster.com/dictionary/Narvalina
Pimpinella	Plantae - Tracheophyta - Magnoliopsida - Apiales - Apiaceae     https://www.gbif.org/species/3034784     https://en.wikipedia.org/wiki/Pimpinella     https://www.merriam-webster.com/dictionary/Pimpinella
Cordia	Plantae - Tracheophyta - Magnoliopsida - Boraginales - Ehretiaceae     https://www.gbif.org/species/2900865     https://en.wikipedia.org/wiki/Cordia     https://www.merriam-webster.com/dictionary/Cordia
Houttuynia	Plantae - Tracheophyta - Magnoliopsida - Piperales - Saururaceae     https://www.gbif.org/species/3086508     https://en.wikipedia.org/wiki/Houttuynia     https://www.merriam-webster.com/dictionary/Houttuynia
Diospyros	Plantae - Tracheophyta - Magnoliopsida - Ericales - Ebenaceae     https://www.gbif.org/species/3030169     https://en.wikipedia.org/wiki/Diospyros     https://www.merriam-webster.com/dictionary/Diospyros
Mosla	Plantae - Tracheophyta - Magnoliopsida - Lamiales - Lamiaceae     https://www.gbif.org/species/2926629     https://en.wikipedia.org/wiki/Mosla     https://www.merriam-webster.com/dictionary/Mosla
Malmea	Plantae - Tracheophyta - Magnoliopsida - Magnoliales - Annonaceae     https://www.gbif.org/species/3154830     https://en.wikipedia.org/wiki/Malmea     https://www.merriam-webster.com/dictionary/Malmea
Machaerium	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2959589     https://en.wikipedia.org/wiki/Machaerium     https://www.merriam-webster.com/dictionary/Machaerium
Orthanthera	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Apocynaceae     https://www.gbif.org/species/7311971     https://en.wikipedia.org/wiki/Orthanthera     https://www.merriam-webster.com/dictionary/Orthanthera
Araucaria	Plantae - Tracheophyta - Pinopsida - Pinales - Araucariaceae     https://www.gbif.org/species/2684910     https://en.wikipedia.org/wiki/Araucaria     https://www.merriam-webster.com/dictionary/Araucaria
Bartramia	Plantae - Bryophyta - Bryopsida - Bryales - Bartramiaceae     https://www.gbif.org/species/NA     https://en.wikipedia.org/wiki/NA     https://www.merriam-webster.com/dictionary/NA
Homalothecium	Plantae - Bryophyta - Bryopsida - Hypnales - Brachytheciaceae     https://www.gbif.org/species/2673096     https://en.wikipedia.org/wiki/Homalothecium     https://www.merriam-webster.com/dictionary/Homalothecium
Thuidium	Plantae - Bryophyta - Bryopsida - Hypnales - Thuidiaceae     https://www.gbif.org/species/2673587     https://en.wikipedia.org/wiki/Thuidium     https://www.merriam-webster.com/dictionary/Thuidium
Eucomis	Plantae - Tracheophyta - Liliopsida - Asparagales - Asparagaceae     https://www.gbif.org/species/2775115     https://en.wikipedia.org/wiki/Eucomis     https://www.merriam-webster.com/dictionary/Eucomis
Ledebouria	Plantae - Tracheophyta - Liliopsida - Asparagales - Asparagaceae     https://www.gbif.org/species/8293484     https://en.wikipedia.org/wiki/Ledebouria     https://www.merriam-webster.com/dictionary/Ledebouria
Boesenbergia	Plantae - Tracheophyta - Liliopsida - Zingiberales - Zingiberaceae     https://www.gbif.org/species/2758458     https://en.wikipedia.org/wiki/Boesenbergia     https://www.merriam-webster.com/dictionary/Boesenbergia
Flemingia	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2975927     https://en.wikipedia.org/wiki/Flemingia     https://www.merriam-webster.com/dictionary/Flemingia
Pancratium	Plantae - Tracheophyta - Liliopsida - Asparagales - Amaryllidaceae     https://www.gbif.org/species/2853236     https://en.wikipedia.org/wiki/Pancratium     https://www.merriam-webster.com/dictionary/Pancratium
Lemna	Plantae - Tracheophyta - Liliopsida - Alismatales - Araceae     https://www.gbif.org/species/2867567     https://en.wikipedia.org/wiki/Lemna     https://www.merriam-webster.com/dictionary/Lemna
Lawsonia	Plantae - Tracheophyta - Magnoliopsida - Myrtales - Lythraceae     https://www.gbif.org/species/3188701     https://en.wikipedia.org/wiki/Lawsonia     https://www.merriam-webster.com/dictionary/Lawsonia
